iter	RMSE
0	104085.9201
1	101768.6387
2	100419.5908
3	97855.86485
4	96743.20243
5	94204.14573
6	91941.01805
7	90946.43669
8	88832.92522
9	87091.22536
10	85284.80325
11	83065.28497
12	81400.76769
13	79859.1632
14	79041.26983
15	77234.90668
16	76673.42695
17	75148.48164
18	73475.40979
19	72429.58852
20	70877.43734
21	69345.24774
22	68293.57174
23	66966.18639
24	65575.08846
25	65074.1767
26	63912.6478
27	62591.47767
28	61276.66805
29	60275.25154
30	59335.73087
31	58264.67273
32	57722.05873
33	56649.30221
34	55447.36429
35	54366.16842
36	53558.5742
37	52543.14345
38	51392.18681
39	50989.41031
40	49927.02795
41	49196.36175
42	48490.86763
43	47524.46005
44	46933.56035
45	46141.709
46	45341.1589
47	44763.13007
48	43846.2816
49	43127.85227
50	42499.61483
51	41730.4093
52	41134.16737
53	40387.82046
54	39875.11048
55	39202.96547
56	38539.3535
57	37943.0122
58	37753.0151
59	37433.22732
60	37276.1639
61	36554.32799
62	36223.74657
63	35867.603
64	35474.30408
65	34889.87606
66	34393.26024
67	34014.31461
68	33630.75811
69	33006.60085
70	32518.58016
71	31999.89794
72	31531.86712
73	30998.16953
74	30408.2281
75	30074.52118
76	29638.683
77	29437.41777
78	29117.85207
79	28923.86108
80	28698.50311
81	28482.01802
82	28192.30567
83	27842.20813
84	27641.51069
85	27205.40336
86	26741.19974
87	26347.49173
88	25961.78257
89	25507.90974
90	25339.49123
91	25103.39461
92	24869.04525
93	24768.79574
94	24528.65758
95	24106.66348
96	23811.61777
97	23659.27155
98	23516.10307
99	23445.96117
100	23281.27668
101	23187.34815
102	23069.87132
103	23005.4533
104	22674.89932
105	22422.21274
106	22224.38213
107	22041.41494
108	21871.13907
109	21755.0222
110	21446.18408
111	21280.58014
112	21044.8522
113	20759.11384
114	20427.54088
115	20211.36968
116	20064.747
117	19967.77597
118	19620.56048
119	19310.05205
120	18980.36218
121	18708.23344
122	18560.62467
123	18310.95176
124	18244.00176
125	18167.37376
126	17861.94219
127	17612.40835
128	17537.15306
129	17406.54421
130	17281.44545
131	16993.30673
132	16773.9456
133	16710.40255
134	16413.18859
135	16120.49235
136	16059.16934
137	15854.8833
138	15726.08867
139	15659.23797
140	15411.45658
141	15342.33349
142	15184.52178
143	14950.54236
144	14898.91001
145	14817.40652
146	14729.60487
147	14683.1175
148	14636.55107
149	14366.3932
150	14258.70192
151	14214.75666
152	13991.29714
153	13785.84055
154	13708.98718
155	13621.05509
156	13577.23213
157	13385.74779
158	13164.93794
159	13083.92497
160	12858.15084
161	12821.10708
162	12738.75206
163	12695.82726
164	12637.62025
165	12465.65515
166	12431.42437
167	12250.37783
168	12117.83999
169	12039.4716
170	11890.55724
171	11820.24547
172	11744.81855
173	11712.29369
174	11581.51186
175	11482.66105
176	11383.87447
177	11241.89315
178	11096.30141
179	10919.84746
180	10767.78243
181	10679.46649
182	10632.46938
183	10488.74908
184	10461.36424
185	10404.56908
186	10361.25018
187	10237.72966
188	10195.77994
189	10169.90127
190	10089.72392
191	9940.837019
192	9901.914102
193	9878.171296
194	9742.299681
195	9615.784561
196	9497.205619
197	9452.895063
198	9393.64697
199	9276.69903
200	9221.827438
201	9188.761789
202	9156.82712
203	9045.372607
204	9014.382051
205	8926.496012
206	8865.467652
207	8747.629664
208	8721.707801
209	8651.643265
210	8605.799302
211	8531.586336
212	8419.628752
213	8404.202911
214	8313.570854
215	8289.761307
216	8266.720973
217	8209.404979
218	8120.960203
219	8081.20952
220	8060.366726
221	8037.897502
222	7959.679104
223	7939.626577
224	7891.831866
225	7872.572607
226	7856.883598
227	7841.756477
228	7812.892287
229	7752.391018
230	7735.038386
231	7670.243548
232	7592.192
233	7571.588024
234	7558.417869
235	7529.98863
236	7462.650818
237	7383.090297
238	7367.41812
239	7357.023804
240	7297.650474
241	7252.511608
242	7231.030782
243	7219.894789
244	7154.39923
245	7133.797252
246	7066.71155
247	7008.011166
248	6995.148422
249	6927.790301
250	6886.901754
251	6873.385644
252	6861.117774
253	6842.329131
254	6792.317542
255	6743.528489
256	6702.050612
257	6687.891041
258	6661.200847
259	6651.699522
260	6618.379676
261	6557.619275
262	6525.49199
263	6516.76418
264	6484.007359
265	6453.436664
266	6393.501844
267	6385.168076
268	6352.43712
269	6313.114857
270	6296.44709
271	6250.498398
272	6233.06058
273	6216.359207
274	6203.135009
275	6153.335741
276	6138.045303
277	6101.954504
278	6084.884753
279	6068.51505
280	6052.811028
281	6038.990525
282	6026.684016
283	6013.951606
284	5958.657993
285	5920.374528
286	5904.995209
287	5879.862469
288	5850.8694
289	5813.023504
290	5777.461853
291	5752.966997
292	5734.076375
293	5719.512817
294	5712.222436
295	5659.158916
296	5648.074666
297	5602.981795
298	5588.811641
299	5564.559375
300	5532.07691
301	5518.843788
302	5511.356243
303	5505.215276
304	5498.694206
305	5456.437221
306	5447.225989
307	5416.18266
308	5403.896198
309	5384.169484
310	5338.557408
311	5313.19233
312	5301.873601
313	5263.922831
314	5247.745961
315	5234.542987
316	5228.746221
317	5200.065904
318	5193.74937
319	5182.500325
320	5161.200927
321	5137.300118
322	5131.195201
323	5123.078204
324	5102.351551
325	5070.291783
326	5054.782618
327	5037.828157
328	5028.203408
329	5002.617969
330	4987.35119
331	4981.936582
332	4952.798119
333	4933.105089
334	4912.083918
335	4874.847117
336	4860.423297
337	4848.77929
338	4833.781275
339	4825.95415
340	4801.583031
341	4795.618504
342	4784.00836
343	4770.943029
344	4737.135133
345	4717.266435
346	4698.889287
347	4683.772038
348	4645.777607
349	4631.845961
350	4618.542975
351	4597.585045
352	4565.490901
353	4558.202091
354	4541.387581
355	4530.574786
356	4524.692541
357	4516.965945
358	4510.113189
359	4507.11667
360	4503.866458
361	4496.903248
362	4490.650087
363	4476.19443
364	4471.033433
365	4456.883493
366	4447.604172
367	4429.732659
368	4413.142012
369	4399.860373
370	4394.212123
371	4381.642792
372	4368.316237
373	4356.003469
374	4343.773991
375	4338.940056
376	4328.380286
377	4326.419658
378	4307.801011
379	4298.652737
380	4293.78846
381	4278.261193
382	4263.637296
383	4238.37276
384	4236.681244
385	4234.958678
386	4230.707879
387	4223.073963
388	4202.096115
389	4201.104707
390	4196.983574
391	4183.702832
392	4170.196933
393	4147.47034
394	4139.818978
395	4130.032893
396	4119.189693
397	4088.211505
398	4079.181888
399	4077.801812
400	4068.479872
401	4061.621609
402	4049.458173
403	4048.674073
404	4046.903765
405	4043.450407
406	4040.500102
407	4030.471285
408	4029.794101
409	4023.525898
410	4008.957729
411	3987.464416
412	3976.513541
413	3975.901457
414	3973.347433
415	3963.659261
416	3952.367761
417	3943.044147
418	3920.071494
419	3917.082079
420	3908.710892
421	3882.460734
422	3865.519506
423	3864.148389
424	3853.731981
425	3840.788377
426	3824.310352
427	3813.876886
428	3808.67341
429	3800.103957
430	3776.819551
431	3770.652014
432	3749.820338
433	3742.741089
434	3736.430361
435	3735.613112
436	3732.648823
437	3725.276052
438	3723.428575
439	3718.711754
440	3715.474283
441	3705.746082
442	3696.059109
443	3690.813438
444	3682.206823
445	3675.373617
446	3668.832939
447	3659.249561
448	3653.05368
449	3638.686275
450	3634.691272
451	3632.81581
452	3632.161058
453	3627.818116
454	3606.732009
455	3599.009584
456	3592.185581
457	3590.040316
458	3582.842532
459	3570.954507
460	3569.432584
461	3568.557575
462	3542.718686
463	3540.031157
464	3531.971231
465	3530.636346
466	3520.755278
467	3519.967347
468	3511.149444
469	3505.396791
470	3500.426195
471	3491.231098
472	3480.399165
473	3479.913015
474	3471.220509
475	3469.613297
476	3456.013609
477	3445.126535
478	3434.681007
479	3419.473204
480	3411.793068
481	3405.65059
482	3399.896843
483	3395.722867
484	3387.152889
485	3378.609549
486	3369.325038
487	3365.068866
488	3357.807611
489	3349.69685
490	3347.151604
491	3341.14707
492	3338.190581
493	3326.027708
494	3316.717933
