iter	Passed	Remaining
0	102	50929
1	130	32449
2	142	23618
3	185	23060
4	197	19541
5	225	18605
6	254	17907
7	267	16471
8	296	16168
9	324	15918
10	354	15749
11	384	15635
12	416	15608
13	450	15656
14	483	15638
15	510	15433
16	527	14984
17	563	15093
18	592	15002
19	622	14940
20	651	14867
21	679	14766
22	706	14653
23	733	14554
24	760	14449
25	777	14169
26	810	14198
27	833	14058
28	861	13999
29	889	13933
30	917	13885
31	940	13748
32	969	13724
33	999	13698
34	1028	13670
35	1053	13574
36	1089	13631
37	1117	13580
38	1145	13546
39	1158	13321
40	1189	13316
41	1217	13279
42	1250	13294
43	1281	13282
44	1315	13305
45	1364	13469
46	1401	13512
47	1424	13410
48	1457	13412
49	1483	13347
50	1524	13420
51	1565	13484
52	1599	13489
53	1633	13491
54	1667	13488
55	1700	13485
56	1738	13513
57	1801	13731
58	1830	13682
59	1892	13880
60	1928	13878
61	1965	13885
62	2002	13887
63	2023	13785
64	2057	13768
65	2091	13755
66	2128	13756
67	2164	13752
68	2199	13737
69	2245	13796
70	2279	13772
71	2313	13753
72	2339	13683
73	2379	13696
74	2420	13715
75	2478	13825
76	2521	13852
77	2555	13825
78	2589	13797
79	2622	13768
80	2651	13714
81	2680	13664
82	2709	13610
83	2731	13526
84	2758	13470
85	2787	13417
86	2817	13373
87	2855	13371
88	2889	13345
89	2942	13402
90	2978	13386
91	3014	13367
92	3052	13359
93	3089	13343
94	3124	13318
95	3163	13313
96	3202	13304
97	3238	13284
98	3277	13275
99	3310	13241
100	3330	13158
101	3369	13146
102	3411	13147
103	3448	13131
104	3495	13150
105	3537	13148
106	3574	13129
107	3610	13103
108	3644	13074
109	3682	13055
110	3712	13009
111	3743	12967
112	3772	12920
113	3802	12874
114	3840	12855
115	3879	12841
116	3919	12829
117	3958	12815
118	3994	12788
119	4030	12762
120	4067	12741
121	4105	12719
122	4138	12683
123	4187	12696
124	4227	12681
125	4260	12646
126	4291	12605
127	4326	12575
128	4359	12538
129	4392	12500
130	4425	12464
131	4457	12427
132	4489	12389
133	4523	12356
134	4554	12312
135	4585	12272
136	4616	12232
137	4649	12196
138	4681	12158
139	4716	12128
140	4747	12086
141	4777	12044
142	4806	11999
143	4837	11959
144	4875	11935
145	4905	11893
146	4934	11849
147	4958	11794
148	4988	11752
149	5019	11712
150	5048	11667
151	5075	11619
152	5103	11575
153	5132	11531
154	5162	11489
155	5191	11447
156	5220	11404
157	5252	11369
158	5282	11328
159	5310	11285
160	5338	11240
161	5367	11198
162	5399	11163
163	5432	11130
164	5466	11098
165	5496	11058
166	5523	11014
167	5552	10972
168	5581	10931
169	5609	10889
170	5638	10848
171	5667	10806
172	5695	10766
173	5727	10731
174	5759	10696
175	5789	10657
176	5820	10621
177	5851	10584
178	5881	10547
179	5909	10505
180	5937	10463
181	5964	10421
182	5992	10379
183	6019	10338
184	6048	10297
185	6075	10256
186	6103	10215
187	6131	10175
188	6160	10136
189	6188	10097
190	6217	10058
191	6249	10025
192	6279	9989
193	6307	9948
194	6335	9909
195	6362	9869
196	6391	9830
197	6419	9791
198	6450	9756
199	6477	9716
200	6506	9678
201	6537	9644
202	6564	9604
203	6592	9565
204	6622	9529
205	6651	9492
206	6679	9454
207	6708	9417
208	6736	9379
209	6765	9342
