iter	Passed	Remaining
0	62	18720
1	75	11179
2	108	10762
3	144	10686
4	178	10544
5	213	10444
6	241	10121
7	278	10153
8	313	10139
9	348	10112
10	383	10073
11	419	10058
12	442	9764
13	477	9759
14	513	9749
15	526	9337
16	561	9352
17	590	9257
18	618	9153
19	653	9148
20	687	9128
21	710	8974
22	743	8953
23	777	8938
24	812	8938
25	847	8928
26	880	8907
27	904	8791
28	938	8773
29	973	8760
30	1047	9093
31	1089	9126
32	1127	9123
33	1163	9099
34	1205	9127
35	1240	9098
36	1258	8942
37	1275	8795
38	1310	8767
39	1347	8757
40	1381	8729
41	1420	8726
42	1455	8698
43	1490	8672
44	1526	8649
45	1560	8617
46	1595	8587
47	1630	8560
48	1664	8527
49	1677	8387
50	1710	8351
51	1759	8392
52	1793	8357
53	1827	8326
54	1862	8296
55	1891	8242
56	1909	8139
57	1937	8083
58	1954	7984
59	1991	7964
60	2024	7932
61	2059	7907
62	2093	7875
63	2127	7844
64	2164	7826
65	2198	7795
66	2232	7762
67	2255	7695
68	2274	7613
69	2310	7590
70	2343	7559
71	2379	7535
72	2403	7474
73	2432	7428
74	2465	7397
75	2502	7376
76	2537	7348
77	2574	7328
78	2614	7312
79	2649	7286
80	2685	7261
81	2719	7229
82	2747	7182
83	2805	7213
84	2848	7206
85	2887	7184
86	2924	7160
87	2960	7132
88	2995	7101
89	3030	7070
90	3065	7040
91	3098	7005
92	3132	6971
93	3165	6938
94	3200	6906
95	3234	6873
96	3269	6841
97	3305	6813
98	3341	6784
99	3375	6751
100	3410	6718
101	3445	6688
102	3481	6658
103	3516	6626
104	3551	6596
105	3588	6568
106	3624	6537
107	3659	6505
108	3695	6474
109	3730	6442
110	3763	6407
111	3796	6372
112	3833	6344
113	3870	6315
114	3906	6284
115	3941	6251
116	3975	6217
117	4011	6187
118	4045	6153
119	4078	6118
120	4113	6084
121	4148	6053
122	4183	6020
123	4217	5986
124	4252	5952
125	4285	5918
126	4320	5885
127	4355	5852
128	4390	5820
129	4424	5786
130	4459	5753
131	4493	5719
132	4528	5686
133	4563	5653
134	4598	5620
135	4632	5585
136	4665	5551
137	4700	5517
138	4735	5484
139	4770	5452
140	4803	5416
141	4837	5382
142	4871	5348
143	4906	5315
144	4940	5281
145	4974	5247
146	5008	5212
147	5042	5179
148	5076	5145
149	5112	5112
150	5146	5078
151	5189	5052
152	5227	5022
153	5262	4988
154	5301	4959
155	5337	4927
156	5376	4896
157	5410	4862
158	5445	4828
159	5479	4794
160	5514	4760
161	5553	4730
162	5587	4696
163	5626	4666
164	5662	4632
165	5696	4598
166	5730	4563
167	5764	4529
168	5799	4495
169	5832	4460
170	5866	4425
171	5905	4395
172	5940	4361
173	5974	4326
174	6007	4291
175	6043	4257
176	6075	4222
177	6109	4187
178	6143	4153
179	6177	4118
180	6213	4084
181	6247	4050
182	6282	4016
183	6317	3982
184	6351	3948
185	6386	3914
186	6421	3880
187	6455	3845
188	6489	3811
189	6524	3777
190	6558	3743
191	6594	3709
192	6628	3674
193	6663	3641
194	6698	3606
195	6733	3573
196	6768	3539
197	6802	3504
198	6836	3469
199	6872	3436
200	6906	3401
201	6942	3368
202	6983	3337
203	7019	3303
204	7053	3268
205	7088	3234
206	7125	3201
207	7160	3167
208	7194	3132
209	7229	3098
210	7263	3063
211	7297	3029
212	7330	2994
213	7364	2959
214	7399	2925
215	7434	2891
216	7467	2856
217	7501	2821
218	7535	2787
219	7570	2752
220	7604	2718
221	7638	2683
222	7671	2649
223	7705	2614
224	7739	2579
225	7775	2545
226	7810	2511
227	7846	2477
228	7880	2443
229	7915	2409
230	7950	2374
231	7984	2340
232	8018	2305
233	8055	2271
234	8089	2237
235	8123	2202
236	8156	2168
237	8191	2133
238	8226	2099
239	8260	2065
240	8295	2030
241	8329	1996
242	8366	1962
243	8400	1927
244	8434	1893
245	8468	1858
246	8503	1824
247	8537	1790
248	8573	1755
249	8606	1721
250	8640	1686
251	8674	1652
252	8708	1617
253	8741	1583
254	8778	1549
255	8812	1514
256	8846	1480
257	8883	1446
258	8919	1411
259	8954	1377
260	8988	1343
261	9022	1308
262	9057	1274
263	9091	1239
264	9125	1205
265	9159	1170
266	9195	1136
267	9228	1101
268	9262	1067
269	9296	1032
270	9330	998
271	9365	964
272	9401	929
273	9435	895
274	9475	861
275	9510	826
276	9543	792
277	9577	757
278	9611	723
279	9644	688
280	9678	654
281	9713	620
282	9748	585
283	9783	551
284	9817	516
285	9850	482
286	9884	447
287	9918	413
288	9955	378
289	9988	344
290	10022	309
291	10055	275
292	10090	241
293	10123	206
294	10161	172
295	10194	137
296	10228	103
297	10262	68
298	10297	34
299	10330	0
